,time,COUNTRY NAME,TOTAL REQUEST,TOTAL IMPRESSION,TOTAL BID VALUE,TOTAL CLICK,TOTAL WIN,TOTAL WIN BID VALUE,TOTAL CLIENT RENDER,Conversions,Revenue,PubIncome,CTR (%),FR (%)
,2014-08-02 11:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 16:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 10:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 11:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 16:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
